fold,n_train,n_test,positives_test,roc_auc,pr_auc,brier,balanced_accuracy,sensitivity,specificity
1,814,204,39,0.5947163947163947,0.24317065919625577,0.15396693673600265,0.5,0.0,1.0
2,814,204,39,0.622999222999223,0.2579810303506298,0.1511104494742198,0.5,0.0,1.0
3,814,204,40,0.64375,0.2758772978567924,0.15332113130359024,0.5,0.0,1.0
4,815,203,39,0.6719824890556598,0.4004652028272957,0.14463939586276786,0.5,0.0,1.0
5,815,203,39,0.6378986866791745,0.2649997242616929,0.15171640167221753,0.5,0.0,1.0
