analysis,n,positives,negatives,roc_auc,pr_auc,brier,balanced_accuracy_0_5,sensitivity_0_5,specificity_0_5,calibration_intercept_offset,calibration_intercept_joint,calibration_slope,youden_threshold,youden_sensitivity,youden_specificity,youden_balanced_accuracy,delta_roc_auc_vs_primary,delta_pr_auc_vs_primary,delta_brier_vs_primary
Primary labels,1018,196,822,0.6358061472764287,0.2668535980401599,0.15095631087664033,0.5,0.0,1.0,-0.0093,-0.0999,0.9336,0.1984,0.6173,0.6302,0.6238,0.0,0.0,0.0
Strict confirmed labels,974,152,822,0.6288337175054424,0.22854097892986336,0.12886499312027272,0.5032894736842105,0.006578947368421052,1.0,-0.018,-0.3297,0.8048,0.1416,0.6842,0.556,0.6201,-0.0069724297709863325,-0.03831261911029654,-0.022091317756367607
