fold,n_train,n_test,positives_test,roc_auc,pr_auc,brier,balanced_accuracy,sensitivity,specificity
1,779,195,30,0.6977777777777778,0.2594755583668674,0.12414428918719447,0.5,0.0,1.0
2,779,195,30,0.6319191919191919,0.2822601419754093,0.12547674493041502,0.5,0.0,1.0
3,779,195,31,0.5538945712037766,0.17859251396899162,0.13934340025455186,0.5,0.0,1.0
4,779,195,31,0.6892210857592447,0.35998241224734534,0.12550212421816273,0.5,0.0,1.0
5,780,194,30,0.6024390243902439,0.24025452004208303,0.12986352770119816,0.5166666666666667,0.03333333333333333,1.0
